painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_amusement_shot,predicted_anger_shot,predicted_awe_shot,predicted_disgust_shot,predicted_contentment_shot,predicted_excitement_shot,predicted_fear_shot,predicted_sad_shot,
francisco-goya_the-annunciation-1785,Romanticism,awe,5,1,0,https://uploads6.wikiart.org/images/francisco-goya/the-annunciation-1785.jpg,The angel is being illuminated by a warm comforting yellow light while the woman calmly prays The woman is an angel and the other woman is reading a scroll. the golden background makes the angels wings glow. It looks as though a life changing miracle is happening with the angel advising the lady.,awe,awe,Awe,Awe,Contentment,Awe,Awe,Awe,
philip-guston_celebration,Abstract_Expressionism,sadness,5,7,1,https://uploads4.wikiart.org/images/philip-guston/celebration.jpg,"looks like a distraught man awoken from his nightmare sitting on the edge of his bed contemplating. I see a face in this painting. The face seems to be experiencing torment or angst, and in turn it makes me feel that way, as well. The rough quality of the lines enhances that feeling.",sadness,sadness,Sadness,Disgust,Sadness,Sadness,Fear,Sadness,
agnolo-bronzino_venus-cupido-and-satyr,Mannerism_Late_Renaissance,excitement,5,3,0,https://uploads8.wikiart.org/images/agnolo-bronzino/venus-cupido-and-satyr.jpg,Looks to be a happy picture showing beauty I love the nudity and bright colors. The man in the photo is smiling with delight after noticing naked women posing,amusement,amusement,Amusement,Amusement,Contentment,Amusement,Amusement,Amusement,
edwin-henry-landseer_ptarmigan,Romanticism,contentment,5,2,0,https://uploads0.wikiart.org/images/edwin-henry-landseer/ptarmigan.jpg,"a white upturned bird with legs in the air and back on the ground The lower bird nesting int he cleft of the rock looks very safe and protected. The birds look relaxed nestled in and under a stone, and the blue sky looks like perfect weather",amusement,contentment,Awe,Disgust,Contentment,Contentment,Contentment,Contentment,
orest-kiprensky_portrait-of-alexander-pushkin-1827,Romanticism,contentment,5,2,0,https://uploads2.wikiart.org/images/orest-kiprensky/portrait-of-alexander-pushkin-1827.jpg,The man has innocent mutton chops and his arms are folded across his stomach. The man's Scottish looking scarf is a good contrast to his blue eyes. I feel like i can feel the fabric on his frock coat. I also wonder what the tartan is on his sash - if it's a tartan for his clan.,amusement,amusement,Contentment,Contentment,Contentment,Amusement,Contentment,Contentment,
alexey-venetsianov_portrait-of-k-i-golovachevsky-and-the-younger-pupils-of-the-academy,Romanticism,sadness,5,7,1,https://uploads2.wikiart.org/images/alexey-venetsianov/portrait-of-k-i-golovachevsky-and-the-younger-pupils-of-the-academy.jpg,I feel sadness because I can tell this is a painting of people from a long time ago that must be dead and gone by now. The tone and color feels a tad bit depressing.,sadness,sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,
francisco-goya_marquesa-mariana-de-pontejos,Romanticism,contentment,5,2,0,https://uploads4.wikiart.org/images/francisco-goya/marquesa-mariana-de-pontejos.jpg,"Serene and peaceful, old painting country style, a classic. Entranced by her pretty gathered gown, bonnet, flower and cute pug dog.",contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
adriaen-brouwer_peasant-inn,Baroque,sadness,5,7,1,https://uploads6.wikiart.org/images/adriaen-brouwer/peasant-inn.jpg,"The tone is dark, and the people are suffering. The woman looks ill, perhaps she is dying. This makes me sad. The mans face looks like he is in pain. One person look to be sick, and the others appear worried.",sadness,sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,
marc-chagall_window-in-artist-s-studio-1976,Naive_Art_Primitivism,contentment,5,2,0,https://uploads4.wikiart.org/images/marc-chagall/window-in-artist-s-studio-1976.jpg,I like how the flowers don't look perfect.  I like the shades of blue contrasted with the other colors. The colors of the flowers in the bouquet are so vivid. The brightly coloured flowers are very calming and relaxing to look at,contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
manabu-mabe_passage-de-fuego-1961,Abstract_Expressionism,fear,5,6,1,https://uploads3.wikiart.org/images/manabu-mabe/passage-de-fuego-1961.jpg,This painting coloring seems to depict a battle between good and evil The brush strokes look very harsh and it makes me a little uncomfortable. It just seems like it is a very aggressive painting. It appears a man holding a gun and the background is covered in blood of the people he killed before.,anger,anger,Fear,Disgust,Anger,Fear,Fear,Fear,
ilya-repin_calvary-crucifixion-study-1869,Realism,fear,5,6,1,https://uploads2.wikiart.org/images/ilya-repin/calvary-crucifixion-study-1869.jpg,A crowd of people are raising a cross where a person is nailed on. Dark and creepy scene of what looks like war,fear,fear,Awe,Disgust,Fear,Fear,Fear,Sadness,
jacob-jordaens_neptune-creating-the-horse-1645,Baroque,awe,5,1,0,https://uploads7.wikiart.org/images/jacob-jordaens/neptune-creating-the-horse-1645.jpg,the colors and the details in this painting are beautiful and very inspiring. I love how lively and bright this picture is. It's very detailed as well as realistic. It looks like a scene from Hercules. this looks like a biblical battle and i love that epicness The deep red color in it is amazing as is the art of the people.,awe,awe,Awe,Awe,Awe,Awe,Awe,Awe,
titian_st-jerome-1575,Mannerism_Late_Renaissance,awe,5,1,0,https://uploads0.wikiart.org/images/titian/st-jerome-1575.jpg,An elderly man appears to be writing down the gospel as spoken by Jesus. I love how everything is sort of fuzzy with the exception of Jesus This painting makes me feel in awe because I can see how the artist is representing how the knowledge was being acquired by old people in the past.,awe,awe,Awe,Awe,Awe,Awe,Awe,Awe,
hans-von-aachen_matthias-holy-roman-emperor-as-king-of-bohemia-1612,Mannerism_Late_Renaissance,amusement,5,0,0,https://uploads1.wikiart.org/images/hans-von-aachen/matthias-holy-roman-emperor-as-king-of-bohemia-1612.jpg,This guy honestly reminds me of a peacock. He also looks as if he is wearing some sort of frilly wallpaper. his peacock feather dress is very pretty,amusement,amusement,Amusement,Disgust,Amusement,Amusement,Amusement,Disgust,
vasily-sadovnikov_interior-of-trinitarian-church-in-vilnius-lithuania-1846,Realism,awe,5,1,0,https://uploads8.wikiart.org/images/vasily-sadovnikov/interior-of-trinitarian-church-in-vilnius-lithuania-1846.jpg,"The depth and magnitude of the space makes me feel rather small. The inside of the church is very intricate and filled with a lot of architecture.  It looks as though there are people praying alongside the pews.  Very detailed. the open space inside the dome is bright the top of the interior looks like a christmas ornament I am in awe looking at this beautiful church, which seems to be filled with heavenly light.",awe,awe,Awe,Awe,Awe,Awe,Awe,Awe,
janos-mattis-teutsch_yellow-landscape-1918,Fauvism,contentment,5,2,0,https://uploads3.wikiart.org/images/janos-mattis-teutsch/yellow-landscape-1918.jpg,"It looks like a large sun in the background. For some reason, this is a relaxing dreamy painting.  It looks like you are looking into a majestic wooded tunnel during sunset",contentment,contentment,Awe,Contentment,Contentment,Contentment,Contentment,Contentment,
vincent-van-gogh_wheat-field-1888-1,Post_Impressionism,excitement,5,3,0,https://uploads5.wikiart.org/images/vincent-van-gogh/wheat-field-1888-1.jpg,"The colors are vivid and welcoming and the field looks fun to run around and roll in. The range of colors the artist uses here is remarkable. one set for the fields, one set for the sky and a smaller set for the house. All perfectly integrated into a cohesive whole Wonderful bright yellow field.It feels like you could walk through it touching the grains with your hands.The hits of brighter orange,and red makes it feel warm.",amusement,contentment,Contentment,Contentment,Contentment,Excitement,Contentment,Contentment,
pierre-auguste-renoir_madame-monet-1872,Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/pierre-auguste-renoir/madame-monet-1872.jpg,The pose that the lady is using in this image gives a definite sense that this is a time of comfort. I want to be this confident wearing my shoes on the bed.,contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
joan-hernandez-pijuan_homenatge-a-lucio-fontana-1971,Minimalism,contentment,5,2,0,https://uploads4.wikiart.org/images/joan-hernandez-pijuan/homenatge-a-lucio-fontana-1971.jpg,The line down the center looks like it is perfectly slicing the painting in half and the evenness gives me a feeling of contentment for the painting along with the neutral color,contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
pierre-puvis-de-chavannes_sleeping,Symbolism,contentment,5,2,0,https://uploads4.wikiart.org/images/pierre-puvis-de-chavannes/sleeping.jpg,The clan seems at peace as they fall asleep as the moon ascends over the water. groups of people resting as the sun goes down A pastoral scene of a group of people sleeping in a field while a huge sun rises above the horizon of a distant lake.,contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
mikhail-vrubel_yellow-roses-1894,Symbolism,awe,6,1,0,https://uploads2.wikiart.org/images/mikhail-vrubel/yellow-roses-1894.jpg,"The flowers are well drawn and lovely, I get a phantom smell of flowers looking at this. Amazing technique, really captures the essence of the roses and I really like the darker blues in the background The thick, cloudy sky behind the rose bush is beautiful.",contentment,contentment,Awe,Contentment,Contentment,Contentment,Contentment,Contentment,
marc-chagall_the-tree-of-jesse-1960,Naive_Art_Primitivism,awe,5,1,0,https://uploads5.wikiart.org/images/marc-chagall/the-tree-of-jesse-1960.jpg,"The colors are all very interesting looking and I like them. The cramped energetic lines with clock, sun and moon suggest bustling activity within the procession of time.",amusement,amusement,Awe,Amusement,Contentment,Excitement,Excitement,Excitement,
peter-max_toulouse-lautrec-1966,Pop_Art,amusement,5,0,0,https://uploads1.wikiart.org/images/peter-max/toulouse-lautrec-1966.jpg,"The psychedelic design/font and colors of the text combined with a portrait of a painter from the 19th century generate incongruity, but at the same time it does say something about the artist, so the overall effect is a bit humoristic. I find it amusing that someone used a hippie style to create a piece that captures Toulouse-Lautrec, especially because he was know for printmaking a bunch of posters that he designed for casual to fancy events",amusement,amusement,Amusement,Amusement,Amusement,Amusement,Amusement,Amusement,
thomas-gainsborough_portrait-of-peter-godfrey-of-old-hall-east-bergholt-suffolk,Rococo,contentment,6,2,0,https://uploads4.wikiart.org/images/thomas-gainsborough/portrait-of-peter-godfrey-of-old-hall-east-bergholt-suffolk.jpg,makes me feel like i don't want to talk to him because he is snobby. he has a sort of air of arrogance but also he looks proud of himself which I admire an elite man dressed in a blue coat and with white hair and a lovely smile,amusement,disgust,Awe,Disgust,Disgust,Disgust,Disgust,Disgust,
utagawa-kuniyoshi_nichiren-going-into-exile-on-the-island-of-sado,Ukiyo_e,contentment,6,2,0,https://uploads8.wikiart.org/images/utagawa-kuniyoshi/nichiren-going-into-exile-on-the-island-of-sado.jpg,"I want to live here, tucked away into the hillside. The environment gives the painting a calming feeling. The person seems to be returning home from a long day of being away. It has cool, relaxing colors The red clothing stands out against the snow. It looks so cold!",contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
richard-hamilton_he-1961,Pop_Art,contentment,5,2,0,https://uploads3.wikiart.org/images/richard-hamilton/he-1961.jpg,"Calm and cool abstract art style, with nice calm colors. the soft colors and warm scene make me feel content",contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
nicholas-roerich_servant-1912,Art_Nouveau_Modern,contentment,5,2,0,https://uploads8.wikiart.org/images/nicholas-roerich/servant-1912.jpg,This would take on new meaning depending on my moods due to the lack of facial expression. The black on the mans feet look like he just has leather wrapped around them,amusement,anger,Awe,Disgust,Contentment,Excitement,Fear,Sadness,
fernando-botero_self-portrait-as-spanish-conquistador,Naive_Art_Primitivism,amusement,6,0,0,https://uploads5.wikiart.org/images/fernando-botero/self-portrait-as-spanish-conquistador.jpg,"The way the man's body is shaped and it's proportions makes me feel amused. Looks like a caricature and it's kinda funny. This fat guy is hilarious. Those body proportions are off in a comical way. Those big legs and small head are making me chuckle. The proportions are ridiculous. I'm not sure if this guy is posing or painting, but his appearance is amusing.",amusement,amusement,Amusement,Amusement,Amusement,Amusement,Amusement,Amusement,
rembrandt_self-portrait-5,Baroque,contentment,5,2,0,https://uploads4.wikiart.org/images/rembrandt/self-portrait-5.jpg,This man is posing for this picture and it looks like he has a scowl on his face. He is wearing all black. This man is posing for this picture and it looks like he has a scowl on his face. He is wearing all black. The person is silently standing there alone. The person is silently standing there alone.,sadness,disgust,Disgust,Disgust,Disgust,Disgust,Sadness,Sadness,
lucas-cranach-the-elder_portrait-of-a-young-woman,Northern_Renaissance,contentment,5,2,0,https://uploads1.wikiart.org/images/lucas-cranach-the-elder/portrait-of-a-young-woman.jpg,Her proportions seem very off which makes it seem distorted. The way the girls hands are crossed and the look on her face make her look at ease and content,contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
audrey-flack_abstract-landscape-1950,Abstract_Expressionism,excitement,47,3,0,https://uploads6.wikiart.org/images/audrey-flack/abstract-landscape-1950.jpg,"The colors really pop. The shapes and colors give a view almost like a kaleidoscope. It is fun and whimsical. I am excited by this profusion of many different colors and interlocking pieces.  It leaves the viewer wondering. I like the swirling colours and the way it draws your eyes into the centre of the image. looks like puzzle pieces from many different puzzles bright colors awaken my brain; the shapes aren't uniform so your brain doesn't know which one to focus on there is so much action depicted in the bright colors The painting looks like exhilarating colorful puzzle pieces to solve in my opinion. A fun and vibrant painting that brings excitment and energy, puzzle-like mosaic with high contrasting colors and a hint of perspective The frenetic blend of warm colors really generate a feeling of joy with this, like playing with leaves in a pile. This painting resembles a fire burning ablaze. Although this may be an abstract painting, the colours and linework is extremely expressive. the colors are very lively and full of energy! Great vibrant fall colors in this abstract work, I love the shapes and movement and how it moves from dark in one corner to lots of white in the opposite.",amusement,amusement,Excitement,Excitement,Excitement,Excitement,Excitement,Excitement,
gustave-loiseau_at-the-coast-of-normandy-1909,Post_Impressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/gustave-loiseau/at-the-coast-of-normandy-1909.jpg,"This painting makes me feel as if I am sitting on the waters edge with the ocean breeze blowing. the blue reds and greens are blended quite nicely and it just looks settling the texture and light make me feel warm The clear sky, gentle colors and everyday scene have an air of peace and well-being. The style done with splotches of pain is pleasing due to is soft nature",contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
rembrandt_landscape,Baroque,sadness,5,7,1,https://uploads7.wikiart.org/images/rembrandt/landscape.jpg,The dark clouds coming in to the town mean there could be flooding which makes me sad. This painting looks sad with the gloomy colors.,sadness,sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,
joan-snyder_symphony-1970,Abstract_Expressionism,excitement,5,3,0,https://uploads4.wikiart.org/images/joan-snyder/symphony-1970.jpg,"The orange and green colors dominate the painting and look like they are in the air. I like the modern/abstract look to thsi, as well as the bold colors.",amusement,excitement,Awe,Amusement,Excitement,Excitement,Excitement,Excitement,
pierre-bonnard_sea-landscape-1900,Post_Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/pierre-bonnard/sea-landscape-1900.jpg,These people look scared. The waves are taking over and the boat doesn't look sturdy. The dark sea and the small boat makes me feel tension(in a good way).  The artist was able to capture the power of the sea very well.,fear,fear,Fear,Fear,Fear,Fear,Fear,Fear,
winslow-homer_long-branch-new-jersey,Realism,contentment,6,2,0,https://uploads6.wikiart.org/images/winslow-homer/long-branch-new-jersey.jpg,"The women are carrying parasols so they can protect their skin The women are walking at the beach with their parasols Two women and a dog are running to the edge so they can see what is happening below. The women look like they have a lot of wealth, since they have umbrellas to shield their skin from the sun",amusement,amusement,Awe,Amusement,Contentment,Amusement,Fear,Sadness,
pavel-svinyin_the-monument-to-alexander-hamilton-at-weehawken,Romanticism,contentment,5,2,0,https://uploads4.wikiart.org/images/pavel-svinyin/the-monument-to-alexander-hamilton-at-weehawken.jpg,the bright water contrasts well with the dark landmass The giant cliffs to the right are quite powerful in appearance and I appreciate their form. black and gray island with boats and beach house,amusement,awe,Awe,Disgust,Contentment,Excitement,Fear,Sadness,
nicholas-roerich_good-nest-good-tree-consolation-for-eyes-1912,Symbolism,fear,5,6,1,https://uploads5.wikiart.org/images/nicholas-roerich/good-nest-good-tree-consolation-for-eyes-1912.jpg,"It gives off a strong ""hell""  vibe. The people are also kind of creepy. The four people sitting down appears to be worshipping the tree in a satanic way because of the color.",disgust,disgust,Fear,Disgust,Disgust,Disgust,Fear,Disgust,
paolo-veronese_adoration-of-the-shepherds-1558,Mannerism_Late_Renaissance,fear,6,6,1,https://uploads7.wikiart.org/images/paolo-veronese/adoration-of-the-shepherds-1558.jpg,"The scene is very chaotic, and it seems like someone is hurt. The colors are dark and ominious, I don't know why the lady is holding the baby like that but it doesn't seem right. She looks like she is about to throw that baby down the stairs, and the bystanders look disturbingly comfortable with that.",fear,anger,Fear,Disgust,Fear,Fear,Fear,Sadness,
lucas-cranach-the-elder_christoph-von-scheurl-1509,Northern_Renaissance,amusement,5,0,0,https://uploads2.wikiart.org/images/lucas-cranach-the-elder/christoph-von-scheurl-1509.jpg,"I love how this person is dressed so grandly, and then...on their head...is a random hairnet. Hilarious! It is difficult to tell if this was intended to be a man or a woman.",amusement,amusement,Amusement,Amusement,Amusement,Amusement,Amusement,Amusement,
odilon-redon_girl-with-chrysanthemums,Symbolism,awe,5,1,0,https://uploads7.wikiart.org/images/odilon-redon/girl-with-chrysanthemums.jpg,This religious scene has Mary viewing an angel from afar. The profile of a woman in the evening is an enchanted sight to behold. The bright blue contrasts very well with the white and yellow and makes it light up,amusement,awe,Awe,Awe,Awe,Awe,Awe,Awe,
andre-masson_pasiphae-2,Cubism,disgust,5,5,1,https://uploads2.wikiart.org/images/andre-masson/pasiphae-2.jpg,"This beast is clearly eating a human. I don't want to see this. This beast is clearly eating a human. I don't want to see this. (adult content) ""It's all elbows and assholes from here"". This monster is devouring a pale corpse. It may be a depiction of the satan. (adult content) ""It's all elbows and assholes from here"". This monster is devouring a pale corpse. It may be a depiction of the satan. this looks like a poorly done comic stripe this looks like a poorly done comic stripe",disgust,disgust,Disgust,Disgust,Disgust,Disgust,Fear,Disgust,
alphonse-mucha_art-nouveau-color-lithograph-poster-showing-a-seated-woman-clasping-the-hand-of-a-native-1903,Art_Nouveau_Modern,excitement,7,3,0,https://uploads6.wikiart.org/images/alphonse-mucha/art-nouveau-color-lithograph-poster-showing-a-seated-woman-clasping-the-hand-of-a-native-1903.jpg,"The colors and the details make it seem like there is something exciting being promoted the performance looking advertisement it seems to be an ad, with vivid colors and promises to be an enriching experience, so it's exciting This painting appears to be a classic advert for the St. Louis  exposition which is sure to be filled with interesting exhibits.",excitement,excitement,Excitement,Excitement,Excitement,Excitement,Excitement,Excitement,
ivan-bilibin_sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909,Art_Nouveau_Modern,contentment,6,2,0,https://uploads1.wikiart.org/images/ivan-bilibin/sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909.jpg,"The view of the skyline in the background is grand and filling me with contentment. This picture is of a home that people live in a country far away from us A banquet room in a palace is grandiose to an extreme, but facing perhaps an even grander castle ahead.",contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
john-lewis-krimmel_nightlife-in-philadelphia-an-oyster-barrow-in-front-of-the-chestnut-street-theater,Realism,excitement,5,3,0,https://uploads8.wikiart.org/images/john-lewis-krimmel/nightlife-in-philadelphia-an-oyster-barrow-in-front-of-the-chestnut-street-theater.jpg,"the dark of the photo and the light from what their looking at makes it feel magical. This looks like a pretty lively celebration, since the girl is holding some sort of sparkler. I'd love to hang out with them. The contrast of a black and white background against colorful people creates an aura of excitement.",amusement,excitement,Excitement,Excitement,Amusement,Excitement,Excitement,Excitement,
henri-rousseau_view-of-the-palais-du-metropolitan-1909,Post_Impressionism,sadness,5,7,1,https://uploads6.wikiart.org/images/henri-rousseau/view-of-the-palais-du-metropolitan-1909.jpg,The sky is brooding and melancholy and the indistinctness of the figures makes them appear less than human. The dark buildings and splotches on the sky seem to forebode ill omen.,sadness,fear,Fear,Fear,Fear,Sadness,Fear,Sadness,
natalia-goncharova_sabbath,Expressionism,sadness,10,7,1,https://uploads5.wikiart.org/images/natalia-goncharova/sabbath.jpg,A somber looking group with their sad expressions. A somber looking group with their sad expressions. No one in this picture looks remotely happy and it makes me feel as as the tone looks grim. No one in this picture looks remotely happy and it makes me feel as as the tone looks grim. all of the people look apprehensive and fearful all of the people look apprehensive and fearful The two gentleman that appear to be twins look saddened along with the two woman. The two gentleman that appear to be twins look saddened along with the two woman.,sadness,sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,
frank-bowling_rush-green-1977,Abstract_Expressionism,amusement,6,0,0,https://uploads8.wikiart.org/images/frank-bowling/rush-green-1977.jpg,"The bright colors remind me of cotton candy, and just make me smile I feel amusement and happiness in looking at this colorful, soft, flowing piece.",amusement,amusement,Amusement,Amusement,Amusement,Amusement,Amusement,Amusement,
joan-ponc_untitled-1946-1,Expressionism,disgust,5,5,1,https://uploads4.wikiart.org/images/joan-ponc/untitled-1946-1.jpg,"The painting shows an alien beak drinking from a goblet. I do not like the color combination, its not easy on the eyes.",amusement,disgust,Amusement,Disgust,Disgust,Disgust,Disgust,Disgust,
tano-festa_omaggio-a-francis-bacon-1981,Pop_Art,contentment,5,2,0,https://uploads0.wikiart.org/images/tano-festa/omaggio-a-francis-bacon-1981.jpg,"beautiful contrast of colors, the blue is dark but bright Abstract art makes me feel happy and makes me search for meaning.",amusement,amusement,Awe,Amusement,Contentment,Amusement,Amusement,Contentment,