painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_contentment_shot
rembrandt_drawing-of-the-last-supper-1635,Baroque,contentment,5,2,0,https://uploads2.wikiart.org/images/rembrandt/drawing-of-the-last-supper-1635.jpg,The religious aspect gives a sense of peace. The people appear to all be hanging out together.,Contentment
amedeo-modigliani_woman-with-a-fan-lunia-czechowska-1919,Expressionism,disgust,6,5,1,https://uploads8.wikiart.org/images/amedeo-modigliani/woman-with-a-fan-lunia-czechowska-1919.jpg,"The form of the woman is elongated and groteseque Her neck is unaturally long and her face is distorted. the way the face, neck and chest is shades makes the womans body look very elongated and the blank white eyes really creep me out",Fear
katsushika-hokusai_a-woman-ghost-appeared-from-a-well,Ukiyo_e,fear,5,6,1,https://uploads5.wikiart.org/images/katsushika-hokusai/a-woman-ghost-appeared-from-a-well.jpg,"This painting frightens me because it looks like a woman haunted by evil spirits. The snake-bodied, humanoid aberration rising out of the hot tub spewing poisonous vapor is frightening.",Fear
keith-haring_untitled-1986,Pop_Art,amusement,5,0,0,https://uploads5.wikiart.org/images/keith-haring/untitled-1986.jpg,"the connection at the hip and third leg are funny The interesting colors and the style of drawing reminds me of Nickelodeon style animation from my childhood. I recall this ""artist's"" work from the 1980's\90's. It was used on skateboards, and ""The National Lampoon"" magazine (RIP)  had a very, very easy time having one of their cartoonists duplicating the exact style of the pieces.",Amusement
nicholas-roerich_uglich-porch-1904,Art_Nouveau_Modern,contentment,5,2,0,https://uploads4.wikiart.org/images/nicholas-roerich/uglich-porch-1904.jpg,"This is an interesting mix between realistic and cartoon looking. the city village orange color on the wallk look great The building looks rather well defined, though a bit rough on the edges. This painting makes me feel content because it ignites my imagination, taking me far away to another place with wonderful yellows and interesting architecture.",Contentment
horace-pippin_the-warped-table-still-life-1940,Post_Impressionism,contentment,6,2,0,https://uploads7.wikiart.org/images/horace-pippin/the-warped-table-still-life-1940.jpg,This looks like a primitive painting of a cheerful still life of fruit and a rose on a side table. It just has a happy feeling about it. The most important and basic of things come with nature. A simple setting with simple colors makes it pleasant.,Contentment
claude-monet_camille-monet-in-the-garden,Impressionism,contentment,6,2,0,https://uploads1.wikiart.org/images/claude-monet/camille-monet-in-the-garden.jpg,"This image makes me feel calm and happy with all the flowers and the nicely dressed individuals. Looks like a comfy, bright afternoon and the people seem very relaxed.",Contentment
jean-baptiste-simeon-chardin_still-life-with-two-rabbits,Rococo,sadness,6,7,1,https://uploads8.wikiart.org/images/jean-baptiste-simeon-chardin/still-life-with-two-rabbits.jpg,"The dead rabbits are too lifelike for my taste and it makes me sad It looks like those bunnies are dead. That is a sad thought. Two rabbits seem lifeless, awaiting preparation to be cooked.",Sadness
juan-gris_seated-harlequin-1923,Cubism,excitement,5,3,0,https://uploads1.wikiart.org/images/juan-gris/seated-harlequin-1923.jpg,The different shades of purple make this painting very alive even though his face expresses sadness. A wonderful maze of my favorite colors which include maze and yellow; followed by a strong nun holding an infant.,Contentment
isa-genzken_spiegel-1991,Minimalism,fear,5,6,1,https://uploads3.wikiart.org/images/isa-genzken/spiegel-1991.jpg,As I have no idea what those metal bars are and what they represent.,Contentment
rembrandt_moses-smashing-the-tablets-of-the-law-1659,Baroque,awe,51,1,0,https://uploads4.wikiart.org/images/rembrandt/moses-smashing-the-tablets-of-the-law-1659.jpg,"Seeing Moses holding the commandments is amazing and brings back memories of the biblical story. A biblical picture depicting Moses presenting the Ten Commandments as in the Bible. I have to assume this is a picture of Moses holding the ten commandment tablets. I feel in awe that he could hold such big stone tablets above his head, and also that he was able to talk directly to God to receive these instructions. The man looks very proud as he's holding the tablets on his hands. I just really love these old ancient style paintings that clearly depict something clearly, as in no weird shapes or odd things that I don't understand. There is a story being told with this painting. he has carried that for many many miles without rest This looks like Moses holding up the Ten Commandments. The subject matter of the Ten Commandments, who would not want to be present when the finger of God wrote on the stone tablets.  Seeing a physical miracle first hand is awe inspiring. This is awe-inspiring because it is Moses powerfully holding up the Ten Commandment tablets that he has just received from God on Mount Sinai. This man looks triumphant as he holds the stone scrolls above him. A Christian or a Jew might feel in awe of this dramatic depiction of Moses holding the Ten Commandments. The large black tablet looks like it contains a powerful text. the painting has an almost burnt in feeling to it that makes it seem intense im interested in why the artist chose such dark colors for the painting and the stress on the mans face. This painting looks like Moses holding up the Ten Commandments . The patriarch, evincing the strength and conviction to hoist the stone tablet aloft is a figure to inspire wonder and respect.",Awe
pablo-picasso_crouching-female-nude-1959,Cubism,amusement,5,0,0,https://uploads1.wikiart.org/images/pablo-picasso/crouching-female-nude-1959.jpg,"It is fun to try and imagine what the person looks like due to the style of the painting This female's mixed-up anatomy is nonsensical, from the facing breast to bird beak nostrils.",Amusement
john-duncan-fergusson_alpes-maritimes-1914,Fauvism,excitement,5,3,0,https://uploads3.wikiart.org/images/john-duncan-fergusson/alpes-maritimes-1914.jpg,"The vivid colors and bold brush strokes, mountains juxtaposed with tropical trees. The picture feels like the artist was excited to paint this scene that feels slightly tropical. It's like a tropical town at the base of a snowy mountain.",Excitement
henri-rousseau_notre-dame-view-of-the-ile-saint-louis-from-the-quai-henri-iv-1909,Naive_Art_Primitivism,contentment,5,2,0,https://uploads6.wikiart.org/images/henri-rousseau/notre-dame-view-of-the-ile-saint-louis-from-the-quai-henri-iv-1909.jpg,The red flag really stands out. a relaxing place to stop and enjoy the scenery. Looks like a beautiful place to be.,Contentment
albrecht-durer_face-a-young-girl-with-red-beret-1507,Northern_Renaissance,sadness,5,7,1,https://uploads4.wikiart.org/images/albrecht-durer/face-a-young-girl-with-red-beret-1507.jpg,"the longing eyes resembles the people on top ,forced to behave in a certain fashion while all they want is freedom. The woman shows a pensive expression, as though an interesting sad matter is on her mind.",Sadness
armand-guillaumin_la-place-valhubert-1875,Impressionism,contentment,5,2,0,https://uploads2.wikiart.org/images/armand-guillaumin/la-place-valhubert-1875.jpg,The peaceful snow and the slow walking of two friends through it is soothing. The colors of the sky make it look like a pleasent cold early morning. This beautiful combinations of colors is so relaxing and satisfying to look at It looks like a very nice place to take a walk.,Contentment
giovanni-domenico-tiepolo_minuet-1756,Rococo,amusement,5,0,0,https://uploads7.wikiart.org/images/giovanni-domenico-tiepolo/minuet-1756.jpg,"This appears to be a costume ball which is kind of interesting. I like how the colors in the background are pastel and light while the foreground is dark. The revelers look like they're having fun, which is contagious. The people are gathered in the park and some are wearing masks, but the lady in the fur forgot her head.",Amusement
andy-warhol_electric-chair,Pop_Art,sadness,5,7,1,https://uploads5.wikiart.org/images/andy-warhol/electric-chair.jpg,the electric chair seems so inhumane The electric chair suggests the worst humanity is capable of,Fear
gerhard-richter_abstract-picture,Abstract_Expressionism,sadness,5,7,1,https://uploads2.wikiart.org/images/gerhard-richter/abstract-picture.jpg,the more vibrant colors of the painting look as if they are melting into gray or emptiness. The streaking colors down the canvas look as if tears have been shed over the painting.,Excitement
wu-guanzhong_the-hua-mountains-at-sunset-1997,Post_Impressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/wu-guanzhong/the-hua-mountains-at-sunset-1997.jpg,"Nature at its best, I feel like I would like to ho out and find this. this painting looks like an outdoor exhibit with grass on it something about the rhythm of the lines make me pause",Contentment
jan-sluyters_odalisque,Expressionism,awe,5,1,0,https://uploads1.wikiart.org/images/jan-sluyters/odalisque.jpg,This of a women that is nude that looks not very happy by her face. the woman's naked body is light in color which contrasts the background and her hair.,Disgust
konstantin-somov_promenade-after-rain-1,Symbolism,contentment,5,2,0,https://uploads0.wikiart.org/images/konstantin-somov/promenade-after-rain-1.jpg,"the brightness of the foreground and shadowing of the background with the rainbow looks cheerful this scene of peopple greeting one another is very pleasant, highlighted by the use of light, vibrant colors suhc as blue and green, and because of the rainbow in the back the scene seems really calm with people feeling ducks by a pond",Contentment
marc-chagall_moses-receiving-the-tablets-of-law-6,Naive_Art_Primitivism,fear,5,6,1,https://uploads1.wikiart.org/images/marc-chagall/moses-receiving-the-tablets-of-law-6.jpg,"I know the scene this is depicting - Moses receiving the 10 Commandments, which a statue of Baal in the background. The way the artist has depicted the scene is very crude and rather frightening. There is chaos all around Moses, and his face is very creepy with that 1 black eye visible. Also looks like a child drew this. The man with green skin and white horns is unsettling",Fear
hans-memling_the-donor-from-the-right-wing-of-the-diptych-of-maerten-van-nieuwenhove-1487,Northern_Renaissance,awe,5,1,0,https://uploads5.wikiart.org/images/hans-memling/the-donor-from-the-right-wing-of-the-diptych-of-maerten-van-nieuwenhove-1487.jpg,The man has his hands clasped in prayer and submission The man excitedly prays for help with his thoughts.,Contentment
salvador-dali_two-adolescents,Expressionism,fear,5,6,1,https://uploads8.wikiart.org/images/salvador-dali/two-adolescents.jpg,"The guy on the right doesn't even have a face, which is super creepy. I am intrigued as to why the men appear naked in such a dark place. I see no water - so I wonder if they are doing okay.",Fear
jay-defeo_untitled-shoetree-series-1977,Abstract_Expressionism,awe,6,1,0,https://uploads0.wikiart.org/images/jay-defeo/untitled-shoetree-series-1977.jpg,The color and lines used to draw this give it depth and range. I don't know what the shape is but it looks like it took skill to draw and paint.,Contentment
hans-hofmann_delirious-pink-1961,Abstract_Expressionism,disgust,5,5,1,https://uploads2.wikiart.org/images/hans-hofmann/delirious-pink-1961.jpg,This painting looks like blood smeared on a wall.,Disgust
ferdinand-hodler_jenenser-student-1908,Art_Nouveau_Modern,contentment,5,2,0,https://uploads8.wikiart.org/images/ferdinand-hodler/jenenser-student-1908.jpg,"simple painting of a gentlemen getting dressed in his finest The character looks cool in his outfit and carries a swagger that breaths ease the action of a man putting on his coat is pleasant The way he is puts on the coat makes me feel like he is a working man ready to take on a challenge, which I can relate to.",Contentment
john-miller_tropical-beach,Contemporary_Realism,contentment,5,2,0,https://uploads5.wikiart.org/images/john-miller/tropical-beach.jpg,"The painting looks serene, warm and relaxed. It makes me content imaging I was there. The vivid colors make me remember the prettiest beach I've ever been on. The painting looks very realistic, and makes me feel as if I'm on a beach relaxing.",Contentment
tsukioka-yoshitoshi_looking-shy-the-appearance-of-a-young-girl-of-the-meiji-era,Ukiyo_e,amusement,6,0,0,https://uploads4.wikiart.org/images/tsukioka-yoshitoshi/looking-shy-the-appearance-of-a-young-girl-of-the-meiji-era.jpg,The mix of colors and patterns that the woman is wearing is beautiful The way she's chewing on her sleeve makes it look like she's a giggling girl meeting a boy for the first time.,Amusement
giovanni-bellini_virgin-and-child,High_Renaissance,contentment,6,2,0,https://uploads3.wikiart.org/images/giovanni-bellini/virgin-and-child.jpg,This painting makes me feel contentment because the baby is sleeping peacefully and the mom is watching over him. This makes it seem like the baby is safe and taken care of. Nice scene of what it's like to be a mother. The blue is very vibrant Vibrant blue robe and chubby baby in possibly an Italian town.,Contentment
sam-francis_her-blue-deeps-1972,Abstract_Expressionism,awe,6,1,0,https://uploads1.wikiart.org/images/sam-francis/her-blue-deeps-1972.jpg,This looks like the inside of a kaleidoscope I really love the contrasting colors and how vibrant everything is.,Contentment
henri-rousseau_exotic-landscape-1908,Naive_Art_Primitivism,amusement,5,0,0,https://uploads6.wikiart.org/images/henri-rousseau/exotic-landscape-1908.jpg,"This stylized piece is very fanciful in nature and features much flora and fauna surrounded by vibrance. This is something a child would enjoy. The use of simple lines and bright colors makes this piece stand out. The young monkey smiles as he hides within the plants with his friends, but Dad looks a bit worried.",Contentment
benozzo-gozzoli_view-of-the-right-hand-wall-of-the-chapel-1465,Early_Renaissance,awe,6,1,0,https://uploads5.wikiart.org/images/benozzo-gozzoli/view-of-the-right-hand-wall-of-the-chapel-1465.jpg,"beautiful and detailed painting.  very intricate love the colors in this, the details within the paintings are awe inspiring The detail is just amazing over all",Awe
pierre-auguste-renoir_georgette-charpentier-seated-1876,Impressionism,awe,5,1,0,https://uploads7.wikiart.org/images/pierre-auguste-renoir/georgette-charpentier-seated-1876.jpg,"This has so much detail, the emblems around the chair really sets the furniture out from the background. The rug matches the little girls dress but not so much that it blends in. This looks like a real portrait of a young girl that brought much happiness to her parents. The details in her curls, clothing, and red lips make this a pleasant picture.",Contentment
annibale-carracci_venus-adonis-and-cupid-1590,Baroque,awe,5,1,0,https://uploads6.wikiart.org/images/annibale-carracci/venus-adonis-and-cupid-1590.jpg,"The natural beauty of this picture is amazing I am awed by the beautiful details of this work of art and amazed by the realism in the creation of the humans, showing their loveliness. The artist has a great appreciation for the human body and for whatever story this picture is representing. Even the doves are lovely to look at, and the dark portions are such that it represents some unsurety or fear surrounding the people. The focus is on the communication between the man and woman. I am inspired and awed by this work of real art, and I enjoy traditional art like this. The scene is innocence and peace The light on the woman and child is exquisite! She looks at the man with love, while the child is peering into the future.",Awe
raphael-kirchner_girls-with-animals-1901-2,Art_Nouveau_Modern,contentment,5,2,0,https://uploads3.wikiart.org/images/raphael-kirchner/girls-with-animals-1901-2.jpg,This woman looks like she is enjoying life and enjoying hanging with a bunny which is wonderful that she is having a good life This reminds me of a historic document used to write a document based essay in high school.,Contentment
leon-spilliaert_la-baigneuse-1910,Symbolism,sadness,5,7,1,https://uploads3.wikiart.org/images/leon-spilliaert/la-baigneuse-1910.jpg,The person is alone and hunched over. The stairs are dark blue. The water she looks at is erratic in shape and dark black. The person is alone and hunched over. The stairs are dark blue. The water she looks at is erratic in shape and dark black. the lady wearing and the black in the water looks gloomy and sad the lady wearing and the black in the water looks gloomy and sad I feel sadness or loneliness when looking at this I feel sadness or loneliness when looking at this The woman staring off into a dark sea of emptyness eliciits feelings of sadness as if she has no hope or faith left in this world The woman staring off into a dark sea of emptyness eliciits feelings of sadness as if she has no hope or faith left in this world,Sadness
theodoros-stamos_double-green-sun-box-1967,Color_Field_Painting,sadness,5,7,1,https://uploads3.wikiart.org/images/theodoros-stamos/double-green-sun-box-1967.jpg,The colors are compatible but the subject matter is lacking. Looks like someones mum has only trusted the to have two colour of paints open at the one time,Contentment
hans-holbein-the-younger_portrait-of-jane-pemberton,Northern_Renaissance,contentment,5,2,0,https://uploads3.wikiart.org/images/hans-holbein-the-younger/portrait-of-jane-pemberton.jpg,The frame in the picture makes it look like an antique. The woman's eye expression feels like she is in deep thought and content while looking downward.,Contentment
vincent-van-gogh_olive-grove-pale-blue-sky-1889,Post_Impressionism,contentment,5,2,0,https://uploads8.wikiart.org/images/vincent-van-gogh/olive-grove-pale-blue-sky-1889.jpg,"These ""broccoli"" trees are leaning to the left and appear to be planted in globs of Velveeta. The specks of white at the top alongside the sunshine is like snow falling on a warm day.",Amusement
lorenzo-lotto_portrait-of-a-jeweler-possibly-giovanni-pietro-crivelli,High_Renaissance,contentment,5,2,0,https://uploads3.wikiart.org/images/lorenzo-lotto/portrait-of-a-jeweler-possibly-giovanni-pietro-crivelli.jpg,It feels strangely calming. This man looks religious and content in his life.,Contentment
akseli-gallen-kallela_study-1889,Symbolism,amusement,5,0,0,https://uploads2.wikiart.org/images/akseli-gallen-kallela/study-1889.jpg,I am amused watching this woman frolicking in the water. Is she bathing or trying to get my attention? She is full of fun and motion. Looks like the women in the painting is enjoying herself The look on the face of the figure seems at odds with her body and the rest of the scene,Amusement
henri-edmond-cross_in-the-shade-1902,Pointillism,contentment,6,2,0,https://uploads6.wikiart.org/images/henri-edmond-cross/in-the-shade-1902.jpg,"A comfortable space where one can be themself. A comfortable space where one can be themself. The body language is relaxed and unconcerned, the short brush strokes feel like a comfortable breeze. The body language is relaxed and unconcerned, the short brush strokes feel like a comfortable breeze. The women are relaxed and natural. The women are relaxed and natural.",Contentment
utagawa-kuniyoshi_the-actor-17,Ukiyo_e,fear,6,6,1,https://uploads0.wikiart.org/images/utagawa-kuniyoshi/the-actor-17.jpg,"The face is scary, very ghostly and at the same time his or her lips looks stained with blood. The robed person depicted here seems disapproving and hostile to a person or event out of range of the painting.",Fear
jim-lambie_zobop-installation-view-1999,Minimalism,excitement,6,3,0,https://uploads0.wikiart.org/images/jim-lambie/zobop-installation-view-1999.jpg,the bright pathway and the contrast of the steady columns is a pleasing set the bright pathway and the contrast of the steady columns is a pleasing set the floor suggests a complex journey and the pillars stabilize it the floor suggests a complex journey and the pillars stabilize it The bright colors and the patterns on the floor are exhilarating. The bright colors and the patterns on the floor are exhilarating.,Excitement
carl-larsson_lazy-nook-1897(1),Art_Nouveau_Modern,contentment,5,2,0,https://uploads0.wikiart.org/images/carl-larsson/lazy-nook-1897(1).jpg,"A quiet morning after reading the paper, even the dog is asleep. Very comforting picture. The dog and blanket on the couch make it look like a lazy day. This room seems very cozy, and comfortable, the dog lying on the floor the cozy blankets on the couch, I would love to sit here and read. This looks like a woman's residence that is inhabited by her loving dog. The use of warm colors makes this a happy and inviting scene. The dog was very tired and fell asleep on the floor.",Contentment
neil-welliver_untitled-night-scene-study,Contemporary_Realism,awe,5,1,0,https://uploads1.wikiart.org/images/neil-welliver/untitled-night-scene-study.jpg,"This abstract shows how small the world is. The landscape looks like a gorgeous winter evening, with grounds covered in snow. I can imagine the sounds of whistling winds and howling wolves.",Contentment
henry-raeburn_portrait-of-janet-dundas,Romanticism,contentment,5,2,0,https://uploads8.wikiart.org/images/henry-raeburn/portrait-of-janet-dundas.jpg,The woman has a pleasing disposition of comfort. The earthy tones add an element of contentment and the subject appears warm and tender. The painting i represents a peaceful day as the lady is posing and being so relaxed while she is having her portrait painted.,Contentment
albert-gleizes_femme-cubiste-1921,Cubism,amusement,6,0,0,https://uploads3.wikiart.org/images/albert-gleizes/femme-cubiste-1921.jpg,Fun to look at The contrasting colors right next to each other are interesting,Contentment
carlo-crivelli_saint-peter-and-saint-paul,Early_Renaissance,fear,5,6,1,https://uploads2.wikiart.org/images/carlo-crivelli/saint-peter-and-saint-paul.jpg,It feels like we shouldn't be watching these two men through the door it looks like he is hiding and is armed. I wonder if the man is being reprimanded.,Fear
